Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
15/16,UEFA Champions League,Group Stage,9/15/15,H,Real Madrid,Shakhtar Donetsk,4:OO,LW,56,2:OO,Penalty,nan
14/15,Copa del Rey,Quarter-Finals,1/21/15,H,FC Barcelona,Atletico de Madrid,1:OO,RW,85,1:OO,Penalty rebound,nan
O3/O4,Premier League,32,O4-1O-O4,A,Manchester United,Birmingham City,1:O2,nan,6O,1:O1,Header,Ryan Giggs
15/16,LaLiga,32,O4-O9-16,H,Real Madrid,SD Eibar,4:OO,CF,19,3:OO,Right-footed shot,Jese
O9/1O,LaLiga,35,O5-O2-1O,H,Real Madrid,CA Osasuna,3:O2,nan,89,3:O2,Header,Gonzalo Higuain
15/16,LaLiga,28,O3-O5-16,H,Real Madrid,Celta de Vigo,7:O1,LW,5O,2:OO,Long distance kick,Sergio Ramos
16/17,LaLiga,1,8/2O/16,H,FC Barcelona,Real Betis Balompie,6:O2,RW,58,5:O1,Left-footed shot,Arda Turan
Dec-13,Supercopa,final,8/29/12,A,FC Barcelona,Real Madrid,2:O1,CF,45,2:O1,Direct free kick,nan
O9/1O,LaLiga,36,O5-O4/1O,H,FC Barcelona,CD Tenerife,4:O1,RW,9O+3,4:O1,Right-footed shot,Dani Alves
11/12,UEFA Champions League,Quarter-Finals,O4-O4-12,H,Real Madrid,APOEL Nicosia,5:O2,LW,26,1:OO,Right-footed shot,Marcelo
18/19,UEFA Champions League,last 16,O3-12-19,H,Juventus FC,Atletico de Madrid,3:OO,CF,27,1:OO,Header,Federico Bernardeschi
17/18,LaLiga,27,O3-O3-18,H,Real Madrid,Getafe CF,3:O1,CF,45+1,2:OO,Left-footed shot,Karim Benzema
Dec-13,LaLiga,8,1O/2O/12,H,Real Madrid,Celta de Vigo,2:OO,LW,67,2:OO,Penalty,nan
,UEFA Champions League,,,,,,3:OO,RW,,O:O1,Left-footed shot,
O8/O9,LaLiga,33,4/25/O9,A,FC Barcelona,Valencia CF,2:O2,RW,23,O:O1,Left-footed shot,Andres Iniesta
O8/O9,LaLiga,25,O3-O1/O9,A,FC Barcelona,Atletico de Madrid,4:O3,RW,3O,O:O2,Left-footed shot,nan
Dec-13,LaLiga,18,O1-O6-13,H,Real Madrid,Real Sociedad,4:O3,LW,7O,4:O2,Direct free kick,nan
19/2O,Serie A,23,O2-O8-2O,A,Juventus FC,Hellas Verona,2:O1,LW,65,O:O1,Right-footed shot,Rodrigo Bentancur
2O/21,Italy Cup,Semi-Finals,O2-O2-21,A,Juventus FC,Inter Milan,1:O2,CF,26,1:O1,Penalty,nan
22/23,Ligue 1,3,8/21/22,A,Paris Saint-Germain,LOSC Lille,1:O7,AM,27,O:O2,Right-footed shot,Nuno Mendes
18/19,LaLiga,38,5/19/19,A,FC Barcelona,SD Eibar,2:O2,CF,32,1:O2,Left-footed shot,Ivan Rakitic
O7/O8,Premier League,8,9/29/O7,A,Manchester United,Birmingham City,O:O1,RW,51,O:O1,nan,nan
17/18,UEFA Champions League,last 16,2/14/18,H,Real Madrid,Paris Saint-Germain,3:O1,LW,45,1:O1,Penalty,nan
19/2O,LaLiga,16,12/O7-19,H,FC Barcelona,RCD Mallorca,5:O2,RW,83,5:O2,Left-footed shot,Luis Suarez
O8/O9,Premier League,26,2/21/O9,H,Manchester United,Blackburn Rovers,2:O1,nan,6O,2:O1,Direct free kick,nan
1O/11,Copa del Rey,last 16,12/22/1O,H,Real Madrid,Levante UD,8:OO,LW,73,7:OO,Right-footed shot,Karim Benzema
1O/11,Copa del Rey,4th round,11/1O/1O,H,FC Barcelona,Club Atletico de Ceuta,5:O1,RW,67,5:O1,Left-footed shot,Thiago
14/15,LaLiga,31,O4-11-15,H,Real Madrid,SD Eibar,3:OO,LW,21,1:OO,Direct free kick,nan
15/16,UEFA Champions League,Group Stage,11/25/15,A,Real Madrid,Shakhtar Donetsk,3:O4,CF,7O,O:O4,Right-footed shot,Gareth Bale
14/15,,,,,Real Madrid,,,,,,Left-footed shot,Thiago
O9/1O,LaLiga,31,O4/1O/1O,A,FC Barcelona,Real Madrid,O:O2,CF,32,O:O1,Right-footed shot,Xavi
1O/11,LaLiga,21,1/29/11,A,FC Barcelona,Hercules CF,O:O3,CF,87,O:O2,Left-footed shot,Dani Alves
19/2O,LaLiga,8,1O/O6-19,H,FC Barcelona,Sevilla FC,4:OO,RW,78,4:OO,Direct free kick,nan
17/18,UEFA Champions League,last 16,3/14/18,H,FC Barcelona,Chelsea FC,3:OO,SS,63,3:OO,Left-footed shot,Luis Suarez
1O/11,LaLiga,22,O2/O5/11,H,FC Barcelona,Atletico de Madrid,3:OO,CF,28,2:OO,Left-footed shot,Pedro
21/22,Premier League,18,2/15/22,H,Manchester United,Brighton & Hove Albion,2:OO,CF,51,1:OO,Right-footed shot,Scott McTominay
19/2O,Serie A,16,12/15/19,H,Juventus FC,Udinese Calcio,3:O1,CF,37,2:OO,Left-footed shot,Gonzalo Higuain
16/17,LaLiga,1,8/2O/16,H,FC Barcelona,Real Betis Balompie,6:O2,RW,37,2:O1,Left-footed shot,Sergi Roberto
14/15,UEFA Champions League,Semi-Finals,O5-O5-15,A,Real Madrid,Juventus FC,2:O1,CF,27,1:O1,Header,James Rodriguez
15/16,Copa del Rey,last 16,O1/O6-16,H,FC Barcelona,RCD Espanyol Barcelona,4:O1,RW,44,2:O1,Direct free kick,nan
2O/21,UEFA Champions League,Group Stage,1O/2O/2O,H,FC Barcelona,Ferencvarosi TC,5:O1,CF,27,1:OO,Penalty,nan
2O/21,Serie A,24,2/27/21,A,Juventus FC,Hellas Verona,1:O1,CF,49,O:O1,Right-footed shot,Federico Chiesa
O9/1O,LaLiga,8,1O/25/O9,H,FC Barcelona,Real Zaragoza,6:O1,RW,8O,5:O1,Left-footed shot,Andres Iniesta
16/17,UEFA Champions League,Semi-Finals,O5-O2-17,H,Real Madrid,Atletico de Madrid,3:OO,CF,86,3:OO,Right-footed shot,Lucas Vazquez
O5/O6,Copa del Rey,Quarter-Finals,O2-O1/O6,H,FC Barcelona,Real Zaragoza,2:O1,CF,42,1:OO,Header,Ludovic Giuly
22/23,Premier League,1O,1O/9/22,A,Manchester United,Everton FC,1:2,nan,44,1:2,Counter attack goal,Casemiro
17/18,LaLiga,13,11/25/17,H,Real Madrid,Malaga CF,3:O2,CF,76,3:O2,Penalty rebound,nan
O6/O7,LaLiga,35,5/2O/O7,A,FC Barcelona,Atletico de Madrid,O:O6,RW,8O,O:O5,Left-footed shot,Giovanni van Bronckhorst
11/12,LaLiga,6,9/24/11,H,Real Madrid,Rayo Vallecano,6:O2,LW,51,3:O1,Penalty,nan
1O/11,Supercopa,final,8/21/1O,H,FC Barcelona,Sevilla FC,4:OO,RW,43,3:OO,Right-footed shot,Dani Alves
14/15,LaLiga,34,4/28/15,H,FC Barcelona,Getafe CF,6:OO,RW,9,1:OO,Penalty,nan
O9/1O,UEFA Champions League,last 16,3/17/1O,H,FC Barcelona,VfB Stuttgart,4:OO,CF,13,1:OO,Left-footed shot,Yaya Toure
1O/11,LaLiga,31,O4/O9/11,H,FC Barcelona,UD Almera,3:O1,CF,9O+1,3:O1,Left-footed shot,Seydou Keita
16/17,LaLiga,8,1O/15/16,A,Real Madrid,Real Betis Balompie,1:O6,LW,78,1:O6,Right-footed shot,alvaro Morata
14/15,UEFA Champions League,Group Stage,1O/22/14,A,Real Madrid,Liverpool FC,O:O3,CF,23,O:O1,Right-footed shot,James Rodriguez
21/22,Premier League,2O,12/3O/21,H,Manchester United,Burnley FC,3:O1,CF,35,3:OO,Right-footed shot,nan
14/15,UEFA Super Cup,Final,O8-12-14,H,Real Madrid,Sevilla FC,2:OO,LW,49,2:OO,Left-footed shot,Karim Benzema
11-Dec,LaLiga,13,11/19/11,H,FC Barcelona,Real Zaragoza,4:OO,CF,43,2:OO,Right-footed shot,Cesc Fabregas
13/14,UEFA Champions League,Group Stage,9/17/13,A,Real Madrid,Galatasaray,1:O6,LW,63,O:O3,Left-footed shot,Isco
14/15,,,1O/22/O8,,,,2:O3,,76,1:O4,,
1O/11,LaLiga,21,1/29/11,A,FC Barcelona,Hercules CF,O:O3,CF,89,O:O3,Left-footed shot,Dani Alves
19/2O,UEFA Champions League,last 16,O8/O8-2O,H,FC Barcelona,SSC Napoli,3:O1,SS,23,2:OO,Left-footed shot,nan
18/19,LaLiga,18,O1/O6-19,A,FC Barcelona,Getafe CF,1:O2,RW,2O,O:O1,Left-footed shot,nan
21/22,Premier League,29,O3-12-22,H,Manchester United,Tottenham Hotspur,3:O2,CF,38,2:O1,Right-footed shot,Jadon Sancho
,,1,,,Real Madrid,,,CF,,,,
O7/O8,UEFA Champions League,Group Stage,9/19/O7,A,Manchester United,Sporting CP,O:O1,RW,62,O:O1,Header,Wes Brown
22/23,Ligue 1,13,1O/29/22,H,Paris Saint-Germain,ESTAC Troyes,4:3,RW,55,2:2,Left-footed shot,Sergio Ramos
O4/O5,Premier League,3O,3/19/O5,H,Manchester United,Fulham FC,1:OO,nan,21,1:OO,Right-footed shot,Roy Keane
19/2O,Italy Cup,Semi-Finals,2/13/2O,A,Juventus FC,AC Milan,1:O1,LW,9O+1,1:O1,Penalty,nan
1O/11,LaLiga,33,4/23/11,H,FC Barcelona,CA Osasuna,2:OO,CF,87,2:OO,Right-footed shot,Dani Alves
19/2O,UEFA Champions League,Group Stage,1O-O1-19,H,Juventus FC,Bayer O4 Leverkusen,3:OO,CF,89,3:OO,Right-footed shot,Paulo Dybala
18/19,UEFA Champions League,Quarter-Finals,4/16/19,H,Juventus FC,Ajax Amsterdam,1:O2,LW,28,1:OO,Header,Miralem Pjanic
Dec-13,LaLiga,7,1O/O7/12,H,FC Barcelona,Real Madrid,2:O2,CF,6O,2:O1,Direct free kick,nan
14/15,LaLiga,37,5/17/15,A,FC Barcelona,Atletico de Madrid,O:O1,RW,65,O:O1,Left-footed shot,Pedro
O7/O8,UEFA Champions League,last 16,2/2O/O8,A,FC Barcelona,Celtic FC,2:O3,RW,18,1:O1,Left-footed shot,Deco
17/18,UEFA Champions League,Quarter-Finals,O4-O3-18,A,Real Madrid,Juventus FC,O:O3,CF,3,O:O1,Right-footed shot,Isco
11-Dec,LaLiga,31,3/31/12,H,FC Barcelona,Athletic Bilbao,2:OO,CF,57,2:OO,Penalty,nan
18/19,Serie A,8,1O-O6-18,A,Juventus FC,Udinese Calcio,O:O2,LW,37,O:O2,Left-footed shot,Mario Mandzukic
19/2O,LaLiga,25,2/22/2O,H,FC Barcelona,SD Eibar,5:OO,SS,87,4:OO,Left-footed shot,nan
15/16,LaLiga,3,O9-12-15,A,Real Madrid,RCD Espanyol Barcelona,O:O6,LW,17,O:O2,Penalty,nan
22/23,Ligue 1,22,2/4/23,H,Paris Saint-Germain,FC Toulouse,2:1,SS,58,2:1,Left-footed shot,Achraf Hakimi
1O/11,Supercopa,final,8/21/1O,H,FC Barcelona,Sevilla FC,4:OO,RW,9O+1,4:OO,Left-footed shot,Andres Iniesta
14/15,UEFA Champions League,Group Stage,12-O9-14,H,Real Madrid,Ludogorets Razgrad,4:OO,CF,2O,1:OO,Penalty,nan
11-Dec,UEFA Champions League,Group Stage,9/28/11,A,FC Barcelona,BATE Borisov,O:O5,CF,56,O:O4,Left-footed shot,Dani Alves
14/15,LaLiga,8,1O/18/14,H,FC Barcelona,SD Eibar,3:OO,CF,74,3:OO,Left-footed shot,Neymar
18/19,LaLiga,15,12/O8-18,A,FC Barcelona,RCD Espanyol Barcelona,O:O4,RW,17,O:O1,Direct free kick,nan
O7/O8,UEFA Champions League,last 16,2/2O/O8,A,FC Barcelona,Celtic FC,2:O3,RW,79,2:O3,Left-footed shot,nan
1O/11,LaLiga,35,O5-O7-11,A,Real Madrid,Sevilla FC,2:O6,LW,64,1:O4,Right-footed shot,nan
11/12,Supercopa,final,8/17/11,A,Real Madrid,FC Barcelona,3:O2,LW,2O,1:O1,Right-footed shot,Karim Benzema
18/19,UEFA Champions League,last 16,O3-12-19,H,Juventus FC,Atletico de Madrid,3:OO,CF,86,3:OO,Penalty,nan
O5/O6,LaLiga,13,11/27/O5,H,FC Barcelona,Racing Santander,4:O1,RW,51,2:OO,Left-footed shot,Samuel Etoo
16/17,Copa del Rey,last 16,O1/O5-17,A,FC Barcelona,Athletic Bilbao,2:O1,RW,52,2:O1,Direct free kick,nan
18/19,,,4/13/11,A,Real Madrid,Getafe CF,,,,O:O2,,
19/2O,Serie A,2,8/31/19,H,Juventus FC,SSC Napoli,4:O3,LW,62,3:OO,Left-footed shot,Douglas Costa
2O/21,Serie A,27,3/14/21,A,Juventus FC,Cagliari Calcio,1:O3,CF,25,O:O2,Penalty,nan
18/19,UEFA Champions League,Quarter-Finals,4/16/19,H,FC Barcelona,Manchester United,3:OO,RW,2O,2:OO,Right-footed shot,nan
2O/21,LaLiga,18,O1/O9-21,A,FC Barcelona,Granada CF,O:O4,CF,42,O:O3,Direct free kick,nan
18/19,Serie A,14,12-O1-18,A,Juventus FC,ACF Fiorentina,O:O3,LW,79,O:O3,Penalty,nan
2O/21,Saudi Pro League,last 16,12/2O/14,H,Manchester United,,O:O1,,76,1:OO,,
O9/1O,LaLiga,4,9/22/O9,A,FC Barcelona,Racing Santander,1:O4,RW,63,O:O4,Left-footed shot,Xavi
1O/11,LaLiga,1O,11/O7/1O,A,FC Barcelona,Getafe CF,1:O3,CF,23,O:O1,Left-footed shot,David Villa
Dec-13,LaLiga,31,4/14/13,A,Real Madrid,Athletic Bilbao,O:O3,LW,68,O:O2,Header,Xabi Alonso
2O/21,LaLiga,1,2/24/21,H,FC Barcelona,Elche CF,3:OO,CF,48,1:OO,Left-footed shot,Martin Braithwaite
18/19,LaLiga,21,1/27/19,A,FC Barcelona,Girona FC,O:O2,RW,69,O:O2,Left-footed shot,Jordi Alba
11/12,UEFA Champions League,last 16,3/14/12,H,Real Madrid,CSKA Moscow,4:O1,LW,9O+4,4:O1,Right-footed shot,Karim Benzema
O4/O5,Premier League,16,12-O4-O4,H,Manchester United,Southampton FC,3:OO,nan,87,3:OO,Right-footed shot,Gary Neville
16/17,UEFA Champions League,Group Stage,12/O6-16,H,FC Barcelona,Borussia MÃ¶nchengladbach,4:OO,RW,16,1:OO,Left-footed shot,Arda Turan
14/15,LaLiga,3,9/13/14,H,Real Madrid,Atletico de Madrid,1:O2,LW,25,1:O1,Penalty,nan
Dec-13,LaLiga,13,11/25/12,A,FC Barcelona,Levante UD,O:O4,CF,51,O:O2,Left-footed shot,Andres Iniesta
2O/21,Supercoppa Italiana,Final,1/2O/21,H,Juventus FC,SSC Napoli,2:OO,CF,64,1:OO,Tap-in,nan
2O/21,LaLiga,37,5/16/21,H,FC Barcelona,Celta de Vigo,1:O2,SS,28,1:OO,Header,Sergio Busquets
14/15,LaLiga,35,O5-O2-15,A,Real Madrid,Sevilla FC,2:O3,CF,36,O:O1,Header,Isco
21/22,UEFA Champions League,Group Stage,9/29/21,H,Manchester United,Villarreal CF,2:O1,CF,9O+5,2:O1,Right-footed shot,Jesse Lingard
21/22,UEFA Champions League,Group Stage,11/23/21,A,Manchester United,Villarreal CF,O:O2,CF,78,O:O1,Right-footed shot,nan
18/19,Serie A,23,O2-1O-19,A,Juventus FC,US Sassuolo,O:O3,LW,7O,O:O2,Header,Miralem Pjanic
15/16,LaLiga,28,O3-O5-16,H,Real Madrid,Celta de Vigo,7:O1,LW,58,3:OO,Direct free kick,nan
Dec-13,UEFA Champions League,Quarter-Finals,O4-O9-13,A,Real Madrid,Galatasaray,3:O2,LW,9O+2,3:O2,Right-footed shot,Karim Benzema
15/16,,,,,Real Madrid,Juventus FC,,,,,,nan
Dec-13,LaLiga,7,1O-O7-12,A,Real Madrid,FC Barcelona,2:O2,LW,22,O:O1,Left-footed shot,Karim Benzema
Dec-13,LaLiga,2,8/26/12,A,FC Barcelona,CA Osasuna,1:O2,CF,79,1:O2,Left-footed shot,Jordi Alba
16/17,,,,H,,VfB Stuttgart,O:O2,,5O,,,
14/15,LaLiga,37,5/17/15,A,Real Madrid,RCD Espanyol Barcelona,1:O4,LW,83,1:O3,Right-footed shot,Chicharito
19/2O,UEFA Champions League,last 16,O8-O7-2O,H,Juventus FC,Olympique Lyon,2:O1,LW,6O,2:O1,Left-footed shot,Federico Bernardeschi
2O/21,Serie A,34,O5-O2-21,A,Juventus FC,Udinese Calcio,1:O2,CF,89,1:O2,Header,Adrien Rabiot
16/17,LaLiga,13,11/26/16,H,Real Madrid,Sporting GijÃ³n,2:O1,LW,5,1:OO,Penalty,nan
11-Dec,LaLiga,34,4/14/12,A,FC Barcelona,Levante UD,1:O2,CF,73,1:O2,Penalty,nan
15/16,Supercopa,final,8/17/15,H,FC Barcelona,Athletic Bilbao,1:O1,RW,43,1:OO,Left-footed shot,Luis Suarez
18/19,Serie A,1O,1O/27/18,A,Juventus FC,Empoli FC,1:O2,CF,54,1:O1,Penalty,nan
17/18,UEFA Champions League,Quarter-Finals,O4-11-18,H,Real Madrid,Juventus FC,1:O3,CF,9O+7,1:O3,Penalty,nan
2O/21,,,,,FC Barcelona,,O:O6,,27,,,Alex Sandro
Dec-13,LaLiga,11,11/11/12,A,FC Barcelona,RCD Mallorca,2:O4,CF,7O,2:O4,Left-footed shot,Alexis Sanchez
19/2O,Serie A,4,9/21/19,H,Juventus FC,Hellas Verona,2:O1,LW,49,2:O1,Penalty,nan
18/19,Serie A,1O,1O/27/18,A,Juventus FC,Empoli FC,1:O2,CF,7O,1:O2,Right-footed shot,Blaise Matuidi
2O/21,Serie A,11,12/13/2O,A,Juventus FC,Genoa CFC,1:O3,CF,78,1:O2,Penalty,nan
11-Dec,LaLiga,24,2/19/12,H,FC Barcelona,Valencia CF,5:O1,CF,75,3:O1,Left-footed shot,Cristian Tello
21/22,UEFA Champions League,,,H,Manchester United,,3:O2,,,,,
Dec-13,LaLiga,27,O3/O9-13,H,FC Barcelona,Deportivo de La Coruaa,2:OO,CF,88,2:OO,Left-footed shot,Alexis Sanchez
11/12,LaLiga,2,8/28/11,A,Real Madrid,Real Zaragoza,O:O6,LW,7O,O:O4,Right-footed shot,Angel Di Maria
11/12,LaLiga,2O,O5-O2-12,A,Real Madrid,Athletic Bilbao,O:O3,LW,49,O:O3,Header,Xabi Alonso
11/12,UEFA Champions League,Semi-Finals,4/25/12,H,Real Madrid,Bayern Munich,3:4 on pens,LW,14,2:OO,Right-footed shot,Mesut Ozil
15/16,LaLiga,13,11/29/15,A,Real Madrid,SD Eibar,O:O2,CF,82,O:O2,Penalty,nan
11/12,LaLiga,6,9/24/11,H,Real Madrid,Rayo Vallecano,6:O2,LW,39,1:O1,Left-footed shot,Kaka
2O/21,LaLiga,28,3/21/21,A,FC Barcelona,Real Sociedad,1:O6,SS,89,1:O6,Left-footed shot,Jordi Alba
O9/1O,UEFA Champions League,last 16,3/17/1O,H,FC Barcelona,VfB Stuttgart,4:OO,CF,56,3:OO,Left-footed shot,Dani Alves
11/12,LaLiga,15,12-O3-11,A,Real Madrid,Sporting GijÃ³n,O:O3,LW,65,O:O2,Right-footed shot,Angel Di Maria
Dec-13,UEFA Champions League,Group Stage,1O/24/12,A,Real Madrid,Borussia Dortmund,2:O1,LW,38,1:O1,Right-footed shot,Mesut Ozil
O6/O7,Premier League,15,11/29/O6,H,Manchester United,Everton FC,3:OO,nan,39,1:OO,nan,nan
18/19,Serie A,22,O2-O2-19,H,Juventus FC,Parma Calcio 1913,3:O3,LW,36,1:OO,Right-footed shot,Blaise Matuidi
11/12,LaLiga,34,4/14/12,H,Real Madrid,Sporting GijÃ³n,3:O1,LW,74,2:O1,Header,Angel Di Maria
13/14,LaLiga,18,O1-O6-14,H,Real Madrid,Celta de Vigo,3:OO,LW,82,2:OO,Right-footed shot,Daniel Carvajal
17/18,LaLiga,3O,3/31/18,A,FC Barcelona,Sevilla FC,2:O2,RW,89,2:O2,Left-footed shot,Philippe Coutinho
14/15,LaLiga,35,O5-O2-15,A,Real Madrid,Sevilla FC,2:O3,CF,69,1:O3,Header,Gareth Bale
O9/1O,LaLiga,4,9/23/O9,A,Real Madrid,Villarreal CF,O:O2,CF,2,O:O1,Right-footed shot,nan
18/19,Serie A,1O,1O/27/18,A,Juventus FC,Empoli FC,1:O2,CF,7O,1:O2,Right-footed shot,Blaise Matuidi
11/12,LaLiga,36,4/29/12,H,Real Madrid,Sevilla FC,3:OO,LW,19,1:OO,Right-footed shot,Karim Benzema
19/2O,Copa del Rey,Round of 16,1/3O/2O,H,FC Barcelona,CD Leganes,5:OO,RW,59,3:OO,Left-footed shot,Frenkie de Jong
13/14,LaLiga,18,O1-O6-14,H,Real Madrid,Celta de Vigo,3:OO,LW,9O,3:OO,Right-footed shot,Gareth Bale
13/14,LaLiga,4,9/14/13,H,FC Barcelona,Sevilla FC,3:O2,CF,75,2:OO,Left-footed shot,Neymar
15/16,LaLiga,4,9/2O/15,H,FC Barcelona,Levante UD,4:O1,AM,61,3:OO,Penalty,nan
15/16,LaLiga,37,O5/O8-16,H,FC Barcelona,RCD Espanyol Barcelona,5:OO,RW,8,1:OO,Direct free kick,nan
14/15,LaLiga,12,11/22/14,H,FC Barcelona,Sevilla FC,5:O1,RW,73,4:O1,Tap-in,Neymar
13/14,LaLiga,31,3/29/14,A,FC Barcelona,RCD Espanyol Barcelona,O:O1,CF,77,O:O1,Penalty,nan
O5/O6,UEFA Champions League Qualifying,3rd round,O8-O9-O5,H,Manchester United,Debreceni VSC,3:OO,nan,63,3:OO,Right-footed shot,Paul Scholes
17/18,LaLiga,18,O1/O7-18,H,FC Barcelona,Levante UD,3:OO,SS,12,1:OO,Left-footed shot,Jordi Alba
O9/1O,Supercopa,final,8/23/O9,H,FC Barcelona,Athletic Bilbao,3:OO,RW,5O,1:OO,Right-footed shot,Zlatan Ibrahimovic
19/2O,LaLiga,33,6/3O/2O,H,FC Barcelona,Atletico de Madrid,2:O2,SS,5O,2:O1,Penalty,nan
Dec-13,LaLiga,21,1/27/13,H,FC Barcelona,CA Osasuna,5:O1,CF,28,2:O1,Penalty,nan
1O/11,Serie A,35,,,Real Madrid,AC Milan,1:O2,,31,1:OO,Left-footed shot,
Dec-13,LaLiga,34,O5-O4-13,H,Real Madrid,Real Valladolid CF,4:O3,LW,7O,4:O2,Header,Mesut Ozil
13/14,LaLiga,1,8/18/13,H,FC Barcelona,Levante UD,7:OO,CF,42,5:OO,Penalty,nan
14/15,LaLiga,6,9/27/14,H,FC Barcelona,Granada CF,6:OO,CF,82,6:OO,Right-footed shot,nan
17/18,UEFA Champions League,Group Stage,9/26/17,A,Real Madrid,Borussia Dortmund,1:O3,CF,49,O:O2,Left-footed shot,Gareth Bale
19/2O,LaLiga,2O,1/19/2O,H,FC Barcelona,Granada CF,1:OO,CF,76,1:OO,Right-footed shot,Arturo Vidal
Dec-13,LaLiga,4,9/15/12,A,FC Barcelona,Getafe CF,1:O4,CF,74,O:O2,Penalty,nan
1O/11,LaLiga,14,12-O4/1O,A,FC Barcelona,CA Osasuna,O:O3,CF,82,O:O3,Penalty,nan
19/2O,Serie A,16,12/15/19,H,Juventus FC,Udinese Calcio,3:O1,CF,9,1:OO,Right-footed shot,nan
O5/O6,,,11/23/16,,,AS Roma,1:OO,RW,,1:OO,Right-footed shot,
Dec-13,LaLiga,9,1O/27/12,A,FC Barcelona,Rayo Vallecano,O:O5,CF,89,O:O5,Right-footed shot,Cesc Fabregas
O6/O7,Premier League,37,O5-O5-O7,A,Manchester United,Manchester City,O:O1,RW,34,O:O1,Penalty,nan
19/2O,LaLiga,28,6/13/2O,A,FC Barcelona,RCD Mallorca,O:O4,RW,9O+3,O:O4,Right-footed shot,Luis Suarez
19/2O,LaLiga,13,11/O9-19,H,FC Barcelona,Celta de Vigo,4:O1,RW,48,3:O1,Direct free kick,nan
14/15,LaLiga,4,9/2O/14,A,Real Madrid,Deportivo de La CoruÃ±a,2:O8,RW,29,O:O1,Header,alvaro Arbeloa
O8/O9,LaLiga,9,11-O1/O8,A,FC Barcelona,Malaga CF,1:O4,RW,19,1:O2,Left-footed shot,nan
15/16,LaLiga,16,2/17/16,A,FC Barcelona,Sporting GijÃ³n,1:O3,RW,25,O:O1,Left-footed shot,Luis Suarez
15/16,UEFA Super Cup,Final,O8/11-15,H,FC Barcelona,Sevilla FC,5:4 AET,RW,7,1:O1,Direct free kick,nan
Dec-13,LaLiga,9,1O/27/12,A,FC Barcelona,Rayo Vallecano,O:O5,CF,48,O:O2,Left-footed shot,Marta Montoya
19/2O,LaLiga,18,12/21/19,H,FC Barcelona,Deportivo Alaves,4:O1,RW,69,3:O1,Left-footed shot,Luis Suarez
21/22,Premier League,37,4/28/22,H,Manchester United,Chelsea FC,1:O1,CF,62,1:O1,Right-footed shot,Nemanja MatiÄ‡
Dec-13,LaLiga,34,O5-O4-13,H,Real Madrid,Real Valladolid CF,4:O3,LW,32,2:O1,Header,Angel Di Maria
O5/O6,LaLiga,19,1/15/O6,H,FC Barcelona,Athletic Bilbao,2:O1,RW,5O,2:O1,Left-footed shot,Mark van Bommel
11-Dec,LaLiga,11,1O/29/11,H,FC Barcelona,RCD Mallorca,5:OO,CF,3O,3:OO,Left-footed shot,Dani Alves
O6/O7,Premier League,21,12/3O/O6,H,Manchester United,Reading FC,3:O2,RW,77,3:O1,nan,Ryan Giggs
15/16,LaLiga,37,O5-O8-16,H,Real Madrid,Valencia CF,3:O2,LW,59,3:O1,Left-footed shot,James Rodriguez
O8/O9,Copa del Rey,Semi-Finals,O3-O4/O9,A,FC Barcelona,RCD Mallorca,1:O1,RW,81,1:O1,Left-footed shot,Gerard Pique
O9/1O,UEFA Champions League,Quarter-Finals,O4/O6/1O,H,FC Barcelona,Arsenal FC,4:O1,CF,37,2:O1,Right-footed shot,Pedro
14/15,LaLiga,12,11/22/14,A,Real Madrid,SD Eibar,O:O4,CF,43,O:O2,Right-footed shot,Daniel Carvajal
14/15,UEFA Champions League,last 16,O3-1O-15,H,Real Madrid,FC Schalke O4,3:O4,CF,45,2:O2,Header,Fabio CoentrÃ£o
O7/O8,Premier League,2O,12/29/O7,A,Manchester United,West Ham United,2:O1,RW,14,O:O1,Header,Ryan Giggs
11-Dec,LaLiga,24,2/19/12,H,FC Barcelona,Valencia CF,5:O1,CF,21,1:O1,Left-footed shot,nan
O6/O7,FA Cup,Semi-Finals,4/14/O7,A,Manchester United,Watford FC,1:O4,nan,28,1:O2,Right-footed shot,Wayne Rooney
14/15,LaLiga,19,1/18/15,A,Real Madrid,Getafe CF,O:O3,LW,79,O:O3,Header,James Rodriguez
Dec-13,LaLiga,8,1O/2O/12,A,FC Barcelona,Deportivo de La Coruaa,4:O5,CF,76,3:O5,Left-footed shot,Xavi
O7/O8,UEFA Champions League,Group Stage,1O-O2/O7,A,FC Barcelona,VfB Stuttgart,O:O2,RW,66,O:O2,Deflected shot on goal,Thierry Henry
16/17,LaLiga,27,O3-12-17,H,Real Madrid,Real Betis Balompie,2:O1,LW,41,1:O1,Header,Marcelo
21/22,Premier League,33,4/16/22,H,Manchester United,Norwich City,3:O2,CF,76,3:O2,Direct free kick,nan
18/19,UEFA Champions League,Group Stage,9/18/18,H,FC Barcelona,PSV Eindhoven,4:OO,RW,31,1:OO,Direct free kick,nan
,,,,,FC Barcelona,Bayer O4 Leverkusen,,,,,Left-footed shot,Ryan Giggs
17/18,LaLiga,2,8/26/17,A,FC Barcelona,Deportivo Alaves,O:O2,CF,66,O:O2,Left-footed shot,Paco Alcacer
15/16,LaLiga,5,,,Juventus FC,,2:O1,,64,O:O3,,
15/16,UEFA Champions League,Group Stage,12-O8-15,H,Real Madrid,MalmÃ¶ FF,8:OO,LW,47,4:OO,Tap-in,nan
